PLAYER,GAME,MIN,REB,AST,TO,STL,BLK,PF,PTS,W,L,Diff,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate
dario-saric,0,17,2,7,1,0,1,3,2,30.0,17.0,6.3,120.3,0.546,0.118,0.277,25.7,114.0,0.536,0.145,0.291,22.1
dario-saric,1,15,4,2,2,1,0,3,5,25.0,25.0,-0.2,115.4,0.561,0.138,0.232,21.8,115.6,0.554,0.136,0.265,16.7
dario-saric,2,20,4,5,2,0,0,2,14,28.0,19.0,0.1,117.6,0.565,0.134,0.264,17.9,117.5,0.566,0.138,0.249,21.6
dario-saric,3,16,3,3,0,1,0,0,10,21.0,27.0,-1.9,118.6,0.541,0.133,0.306,21.7,120.4,0.580,0.142,0.282,19.9
dario-saric,4,23,7,3,4,0,1,5,13,18.0,31.0,-5.7,108.8,0.520,0.148,0.263,18.2,114.5,0.547,0.153,0.277,21.7
dario-saric,5,34,6,6,3,1,0,1,12,32.0,16.0,3.4,120.9,0.576,0.125,0.251,23.4,117.5,0.542,0.114,0.263,19.4
dario-saric,6,28,7,6,0,2,0,2,12,23.0,26.0,-2.0,114.1,0.534,0.126,0.277,18.4,116.1,0.556,0.146,0.274,20.1
dario-saric,7,14,3,3,2,1,0,2,4,28.0,21.0,3.3,117.5,0.559,0.135,0.275,21.4,114.3,0.544,0.140,0.262,20.0
dario-saric,8,18,5,4,0,2,0,1,11,17.0,31.0,-2.8,115.0,0.547,0.134,0.273,18.5,117.8,0.561,0.136,0.279,18.0
dario-saric,9,22,3,1,1,0,0,3,17,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
dario-saric,10,23,7,6,2,1,0,1,13,33.0,16.0,4.1,118.9,0.562,0.130,0.292,18.0,114.7,0.536,0.125,0.267,20.5
dariq-whitehead,0,21,4,3,0,0,0,0,2,32.0,16.0,3.4,120.9,0.576,0.125,0.251,23.4,117.5,0.542,0.114,0.263,19.4
dariq-whitehead,1,3,0,0,0,0,1,0,1,26.0,23.0,-1.8,113.8,0.536,0.136,0.255,22.9,115.5,0.559,0.141,0.259,18.3
darius-garland,0,24,2,7,3,1,0,0,9,18.0,31.0,-5.7,108.8,0.520,0.148,0.263,18.2,114.5,0.547,0.153,0.277,21.7
darius-garland,1,20,0,3,1,2,0,1,19,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
darius-garland,2,36,2,3,5,2,0,2,19,37.0,12.0,8.9,121.2,0.571,0.126,0.271,19.9,112.3,0.528,0.119,0.260,14.9
darius-garland,3,38,2,7,2,1,0,1,26,37.0,12.0,8.9,121.2,0.571,0.126,0.271,19.9,112.3,0.528,0.119,0.260,14.9
darius-garland,4,39,6,5,3,2,0,0,36,26.0,23.0,0.8,113.3,0.532,0.146,0.290,23.1,112.5,0.549,0.157,0.257,21.4
darius-garland,5,26,2,6,2,4,0,4,18,26.0,23.0,-1.8,113.8,0.536,0.136,0.255,22.9,115.5,0.559,0.141,0.259,18.3
darius-garland,6,40,3,9,0,0,0,1,26,26.0,23.0,0.8,113.3,0.532,0.146,0.290,23.1,112.5,0.549,0.157,0.257,21.4
darius-garland,7,34,2,5,2,3,1,1,22,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
darius-garland,8,37,4,7,8,1,0,0,15,15.0,33.0,-9.4,109.4,0.508,0.150,0.297,19.1,118.7,0.568,0.147,0.291,21.5
darius-garland,9,38,2,8,2,2,0,1,19,21.0,27.0,-1.9,118.6,0.541,0.133,0.306,21.7,120.4,0.580,0.142,0.282,19.9
darius-garland,10,41,2,8,5,0,0,2,24,17.0,31.0,-2.8,115.0,0.547,0.134,0.273,18.5,117.8,0.561,0.136,0.279,18.0
david-roddy,0,27,2,4,2,0,0,3,16,21.0,24.0,0.7,118.7,0.560,0.146,0.303,19.9,118.0,0.548,0.126,0.269,22.1
david-roddy,1,18,4,3,0,1,0,2,2,30.0,16.0,4.5,115.9,0.552,0.137,0.281,18.6,111.4,0.530,0.147,0.265,21.0
david-roddy,2,35,10,2,4,1,0,0,9,28.0,19.0,0.1,117.6,0.565,0.134,0.264,17.9,117.5,0.566,0.138,0.249,21.6
david-roddy,3,32,5,1,0,1,1,4,14,27.0,23.0,1.1,121.7,0.582,0.134,0.283,18.0,120.7,0.567,0.137,0.297,24.3
david-roddy,4,17,10,3,1,0,0,2,3,26.0,23.0,0.8,113.3,0.532,0.146,0.290,23.1,112.5,0.549,0.157,0.257,21.4
david-roddy,5,32,3,4,3,2,1,2,10,26.0,23.0,-1.8,113.8,0.536,0.136,0.255,22.9,115.5,0.559,0.141,0.259,18.3
david-roddy,6,23,9,2,1,0,0,1,8,17.0,31.0,-2.8,115.0,0.547,0.134,0.273,18.5,117.8,0.561,0.136,0.279,18.0
david-roddy,7,32,2,3,1,0,0,3,11,23.0,26.0,-2.0,114.1,0.534,0.126,0.277,18.4,116.1,0.556,0.146,0.274,20.1
david-roddy,8,23,4,1,0,0,0,2,8,34.0,15.0,6.9,115.9,0.569,0.153,0.260,22.0,109.1,0.515,0.145,0.263,19.4
david-roddy,9,21,7,2,2,0,0,1,12,21.0,24.0,0.7,118.7,0.560,0.146,0.303,19.9,118.0,0.548,0.126,0.269,22.1
david-roddy,10,35,4,1,2,2,0,4,14,32.0,17.0,6.8,119.8,0.545,0.135,0.328,21.2,113.0,0.543,0.134,0.250,17.7
davion-mitchell,0,16,2,1,1,1,0,0,4,27.0,23.0,1.1,121.7,0.582,0.134,0.283,18.0,120.7,0.567,0.137,0.297,24.3
davion-mitchell,1,12,1,1,1,0,0,1,3,26.0,23.0,-1.8,113.8,0.536,0.136,0.255,22.9,115.5,0.559,0.141,0.259,18.3
davion-mitchell,2,16,0,0,2,2,0,2,5,18.0,31.0,-5.7,108.8,0.520,0.148,0.263,18.2,114.5,0.547,0.153,0.277,21.7
davion-mitchell,3,11,2,1,1,0,0,2,0,26.0,22.0,-0.0,118.7,0.565,0.125,0.250,20.0,118.7,0.564,0.140,0.293,20.0
davion-mitchell,4,15,2,4,0,0,0,2,10,21.0,24.0,0.7,118.7,0.560,0.146,0.303,19.9,118.0,0.548,0.126,0.269,22.1
davion-mitchell,5,22,2,2,0,0,0,1,5,21.0,27.0,-1.9,118.6,0.541,0.133,0.306,21.7,120.4,0.580,0.142,0.282,19.9
davion-mitchell,6,6,0,0,0,0,0,0,4,30.0,17.0,6.3,120.3,0.546,0.118,0.277,25.7,114.0,0.536,0.145,0.291,22.1
davion-mitchell,7,5,1,0,0,0,0,1,0,10.0,37.0,-11.9,110.6,0.529,0.139,0.259,17.0,122.5,0.586,0.138,0.275,21.3
davion-mitchell,8,1,1,0,0,0,0,0,0,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
davion-mitchell,9,10,0,0,0,1,0,1,0,28.0,21.0,3.3,117.5,0.559,0.135,0.275,21.4,114.3,0.544,0.140,0.262,20.0
davion-mitchell,10,11,1,2,0,0,0,0,7,17.0,31.0,-2.8,115.0,0.547,0.134,0.273,18.5,117.8,0.561,0.136,0.279,18.0
davis-bertans,0,0,0,0,0,0,0,0,0,33.0,16.0,4.1,118.9,0.562,0.130,0.292,18.0,114.7,0.536,0.125,0.267,20.5
davis-bertans,1,5,0,1,0,1,0,0,3,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
davis-bertans,2,3,0,0,0,0,1,0,0,15.0,33.0,-9.4,109.4,0.508,0.150,0.297,19.1,118.7,0.568,0.147,0.291,21.5
davis-bertans,3,1,0,0,0,0,0,0,0,19.0,28.0,-1.0,116.0,0.540,0.129,0.284,17.8,117.0,0.547,0.125,0.268,20.6
davis-bertans,4,1,1,0,0,0,0,0,3,32.0,17.0,6.8,119.8,0.545,0.135,0.328,21.2,113.0,0.543,0.134,0.250,17.7
davis-bertans,5,10,1,1,0,0,0,0,3,25.0,25.0,-0.2,115.4,0.561,0.138,0.232,21.8,115.6,0.554,0.136,0.265,16.7
davis-bertans,6,5,3,1,1,0,0,1,0,28.0,19.0,0.1,117.6,0.565,0.134,0.264,17.9,117.5,0.566,0.138,0.249,21.6
davis-bertans,7,9,0,1,0,0,1,1,3,24.0,26.0,-3.2,116.3,0.545,0.157,0.321,20.8,119.5,0.561,0.122,0.273,18.7
davis-bertans,8,0,0,0,0,0,0,0,0,21.0,24.0,0.7,118.7,0.560,0.146,0.303,19.9,118.0,0.548,0.126,0.269,22.1
davis-bertans,9,11,1,1,0,1,0,3,15,26.0,22.0,-0.0,118.7,0.565,0.125,0.250,20.0,118.7,0.564,0.140,0.293,20.0
davis-bertans,10,10,1,1,0,0,0,2,5,30.0,17.0,6.3,120.3,0.546,0.118,0.277,25.7,114.0,0.536,0.145,0.291,22.1
dayron-sharpe,0,17,6,2,0,0,1,3,11,15.0,33.0,-9.4,109.4,0.508,0.150,0.297,19.1,118.7,0.568,0.147,0.291,21.5
dayron-sharpe,1,9,2,2,0,1,0,1,6,34.0,15.0,8.4,120.5,0.578,0.123,0.239,21.2,112.1,0.525,0.158,0.307,21.4
dayron-sharpe,2,20,12,1,1,1,1,5,11,23.0,25.0,2.7,115.0,0.536,0.126,0.264,20.7,112.3,0.530,0.137,0.263,22.6
dayron-sharpe,3,17,9,2,1,0,1,0,12,28.0,21.0,3.3,117.5,0.559,0.135,0.275,21.4,114.3,0.544,0.140,0.262,20.0
dayron-sharpe,4,8,2,0,0,1,1,1,3,34.0,15.0,8.4,120.5,0.578,0.123,0.239,21.2,112.1,0.525,0.158,0.307,21.4
dayron-sharpe,5,18,9,3,2,0,0,3,10,9.0,39.0,-9.8,111.9,0.544,0.133,0.222,17.9,121.8,0.566,0.136,0.321,20.1
dayron-sharpe,6,16,4,4,0,0,1,3,12,32.0,16.0,3.4,120.9,0.576,0.125,0.251,23.4,117.5,0.542,0.114,0.263,19.4
dayron-sharpe,7,22,11,3,1,2,4,1,11,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
dayron-sharpe,8,18,3,1,1,0,0,4,11,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
dayron-sharpe,9,19,10,4,0,2,2,2,13,33.0,16.0,4.1,118.9,0.562,0.130,0.292,18.0,114.7,0.536,0.125,0.267,20.5
dayron-sharpe,10,19,15,3,1,1,0,4,9,32.0,17.0,6.8,119.8,0.545,0.135,0.328,21.2,113.0,0.543,0.134,0.250,17.7
deaaron-fox,0,35,3,3,3,6,1,1,25,27.0,23.0,1.1,121.7,0.582,0.134,0.283,18.0,120.7,0.567,0.137,0.297,24.3
deaaron-fox,1,37,5,3,2,2,0,3,13,26.0,23.0,-1.8,113.8,0.536,0.136,0.255,22.9,115.5,0.559,0.141,0.259,18.3
deaaron-fox,2,34,5,4,3,2,0,1,23,18.0,31.0,-5.7,108.8,0.520,0.148,0.263,18.2,114.5,0.547,0.153,0.277,21.7
deaaron-fox,3,37,3,5,2,2,2,3,34,26.0,22.0,-0.0,118.7,0.565,0.125,0.250,20.0,118.7,0.564,0.140,0.293,20.0
deaaron-fox,4,36,1,5,1,1,1,3,29,21.0,24.0,0.7,118.7,0.560,0.146,0.303,19.9,118.0,0.548,0.126,0.269,22.1
deaaron-fox,5,35,3,1,1,1,0,1,12,21.0,27.0,-1.9,118.6,0.541,0.133,0.306,21.7,120.4,0.580,0.142,0.282,19.9
deaaron-fox,6,40,6,6,1,1,0,2,24,27.0,23.0,1.1,121.7,0.582,0.134,0.283,18.0,120.7,0.567,0.137,0.297,24.3
deaaron-fox,7,37,2,6,1,2,0,2,33,28.0,21.0,3.6,119.7,0.570,0.149,0.285,24.4,116.1,0.544,0.129,0.278,19.0
deaaron-fox,8,43,2,5,4,3,0,4,32,32.0,16.0,3.4,120.9,0.576,0.125,0.251,23.4,117.5,0.542,0.114,0.263,19.4
deaaron-fox,9,38,5,4,2,1,0,2,21,30.0,17.0,6.3,120.3,0.546,0.118,0.277,25.7,114.0,0.536,0.145,0.291,22.1
deaaron-fox,10,28,1,3,1,1,1,0,19,10.0,37.0,-11.9,110.6,0.529,0.139,0.259,17.0,122.5,0.586,0.138,0.275,21.3
dean-wade,0,28,5,1,0,2,2,1,6,18.0,31.0,-5.7,108.8,0.520,0.148,0.263,18.2,114.5,0.547,0.153,0.277,21.7
dean-wade,1,12,1,0,1,0,1,2,0,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
dean-wade,2,26,4,2,1,0,0,1,6,32.0,15.0,8.5,122.1,0.577,0.130,0.280,21.5,113.7,0.532,0.139,0.281,19.9
dean-wade,3,21,5,0,0,0,1,1,9,32.0,16.0,3.4,120.9,0.576,0.125,0.251,23.4,117.5,0.542,0.114,0.263,19.4
dean-wade,4,23,5,0,1,0,1,1,6,32.0,16.0,3.4,120.9,0.576,0.125,0.251,23.4,117.5,0.542,0.114,0.263,19.4
dean-wade,5,24,3,0,0,2,0,2,9,26.0,23.0,0.8,113.3,0.532,0.146,0.290,23.1,112.5,0.549,0.157,0.257,21.4
dean-wade,6,26,5,0,0,1,0,1,17,21.0,27.0,-1.9,118.6,0.541,0.133,0.306,21.7,120.4,0.580,0.142,0.282,19.9
dean-wade,7,21,3,0,2,1,0,0,5,32.0,16.0,3.4,120.9,0.576,0.125,0.251,23.4,117.5,0.542,0.114,0.263,19.4
dean-wade,8,26,7,3,0,3,0,2,12,23.0,26.0,-2.0,114.1,0.534,0.126,0.277,18.4,116.1,0.556,0.146,0.274,20.1
dean-wade,9,27,1,2,0,2,0,5,4,19.0,28.0,-1.0,116.0,0.540,0.129,0.284,17.8,117.0,0.547,0.125,0.268,20.6
dean-wade,10,11,2,1,1,0,0,2,0,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
deandre-ayton,0,27,3,1,0,0,1,1,8,33.0,16.0,4.1,118.9,0.562,0.130,0.292,18.0,114.7,0.536,0.125,0.267,20.5
deandre-ayton,1,35,11,1,1,1,1,3,20,32.0,16.0,3.4,120.9,0.576,0.125,0.251,23.4,117.5,0.542,0.114,0.263,19.4
deandre-ayton,2,31,6,2,0,1,0,2,18,30.0,17.0,6.3,120.3,0.546,0.118,0.277,25.7,114.0,0.536,0.145,0.291,22.1
deandre-ayton,3,37,12,1,0,0,1,0,22,23.0,26.0,-2.0,114.1,0.534,0.126,0.277,18.4,116.1,0.556,0.146,0.274,20.1
deandre-ayton,4,34,12,2,2,2,0,2,20,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
deandre-ayton,5,41,17,3,1,1,2,3,18,23.0,25.0,2.7,115.0,0.536,0.126,0.264,20.7,112.3,0.530,0.137,0.263,22.6
deandre-ayton,6,27,7,2,3,0,0,2,5,34.0,15.0,8.4,120.5,0.578,0.123,0.239,21.2,112.1,0.525,0.158,0.307,21.4
deandre-ayton,7,22,4,0,1,0,0,3,6,25.0,25.0,-0.2,115.4,0.561,0.138,0.232,21.8,115.6,0.554,0.136,0.265,16.7
deandre-ayton,8,30,8,1,1,0,2,1,12,27.0,23.0,1.1,121.7,0.582,0.134,0.283,18.0,120.7,0.567,0.137,0.297,24.3
deandre-ayton,9,29,6,2,1,3,0,2,13,21.0,24.0,0.7,118.7,0.560,0.146,0.303,19.9,118.0,0.548,0.126,0.269,22.1
deandre-ayton,10,35,16,2,5,0,1,3,23,9.0,39.0,-9.8,111.9,0.544,0.133,0.222,17.9,121.8,0.566,0.136,0.321,20.1
deandre-hunter,0,16,1,1,2,0,0,0,6,25.0,25.0,-0.2,115.4,0.561,0.138,0.232,21.8,115.6,0.554,0.136,0.265,16.7
deandre-hunter,1,28,1,3,0,0,0,2,11,23.0,25.0,2.7,115.0,0.536,0.126,0.264,20.7,112.3,0.530,0.137,0.263,22.6
deandre-hunter,2,29,6,2,4,1,2,5,19,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
deandre-hunter,3,26,2,0,0,1,0,1,18,30.0,16.0,4.5,115.9,0.552,0.137,0.281,18.6,111.4,0.530,0.147,0.265,21.0
deandre-hunter,4,37,7,1,3,0,0,2,24,30.0,17.0,6.3,120.3,0.546,0.118,0.277,25.7,114.0,0.536,0.145,0.291,22.1
deandre-hunter,5,36,4,2,1,0,0,1,14,19.0,28.0,-1.0,116.0,0.540,0.129,0.284,17.8,117.0,0.547,0.125,0.268,20.6
deandre-hunter,6,31,1,0,2,2,0,2,12,32.0,16.0,3.4,120.9,0.576,0.125,0.251,23.4,117.5,0.542,0.114,0.263,19.4
deandre-hunter,7,22,6,2,3,1,0,6,12,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
deandre-hunter,8,26,4,2,0,0,0,4,18,30.0,16.0,4.5,115.9,0.552,0.137,0.281,18.6,111.4,0.530,0.147,0.265,21.0
deandre-hunter,9,40,4,2,2,1,1,4,24,37.0,12.0,8.9,121.2,0.571,0.126,0.271,19.9,112.3,0.528,0.119,0.260,14.9
deandre-hunter,10,31,4,0,2,2,0,4,20,9.0,39.0,-9.8,111.9,0.544,0.133,0.222,17.9,121.8,0.566,0.136,0.321,20.1
deandre-jordan,0,5,1,0,0,0,0,1,2,15.0,33.0,-9.4,109.4,0.508,0.150,0.297,19.1,118.7,0.568,0.147,0.291,21.5
deandre-jordan,1,8,2,0,0,0,1,2,5,32.0,16.0,3.4,120.9,0.576,0.125,0.251,23.4,117.5,0.542,0.114,0.263,19.4
deandre-jordan,2,11,6,0,0,0,1,2,2,30.0,17.0,6.3,120.3,0.546,0.118,0.277,25.7,114.0,0.536,0.145,0.291,22.1
deandre-jordan,3,11,5,0,0,0,0,0,0,32.0,17.0,6.8,119.8,0.545,0.135,0.328,21.2,113.0,0.543,0.134,0.250,17.7
deandre-jordan,4,11,3,1,1,0,1,2,2,27.0,23.0,1.1,121.7,0.582,0.134,0.283,18.0,120.7,0.567,0.137,0.297,24.3
deandre-jordan,5,7,4,0,1,0,0,1,3,9.0,39.0,-9.8,111.9,0.544,0.133,0.222,17.9,121.8,0.566,0.136,0.321,20.1
deandre-jordan,6,10,1,0,0,0,0,3,4,30.0,17.0,6.3,120.3,0.546,0.118,0.277,25.7,114.0,0.536,0.145,0.291,22.1
deandre-jordan,7,7,2,1,2,0,0,4,0,27.0,23.0,1.1,121.7,0.582,0.134,0.283,18.0,120.7,0.567,0.137,0.297,24.3
deandre-jordan,8,14,7,1,0,0,1,1,6,28.0,21.0,3.3,117.5,0.559,0.135,0.275,21.4,114.3,0.544,0.140,0.262,20.0
deandre-jordan,9,8,5,0,0,0,1,0,5,24.0,26.0,-3.2,116.3,0.545,0.157,0.321,20.8,119.5,0.561,0.122,0.273,18.7
deandre-jordan,10,21,7,1,3,0,1,5,9,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
deanthony-melton,0,25,4,3,1,1,0,3,6,28.0,19.0,0.1,117.6,0.565,0.134,0.264,17.9,117.5,0.566,0.138,0.249,21.6
deanthony-melton,1,21,3,2,1,0,0,0,10,21.0,27.0,-1.9,118.6,0.541,0.133,0.306,21.7,120.4,0.580,0.142,0.282,19.9
deanthony-melton,2,26,3,0,0,4,0,4,9,23.0,26.0,-2.0,114.1,0.534,0.126,0.277,18.4,116.1,0.556,0.146,0.274,20.1
deanthony-melton,3,36,3,2,2,1,0,1,15,23.0,25.0,2.7,115.0,0.536,0.126,0.264,20.7,112.3,0.530,0.137,0.263,22.6
deanthony-melton,4,37,5,1,1,2,0,3,22,26.0,23.0,0.8,113.3,0.532,0.146,0.290,23.1,112.5,0.549,0.157,0.257,21.4
deanthony-melton,5,37,7,5,0,4,1,2,15,26.0,23.0,-1.8,113.8,0.536,0.136,0.255,22.9,115.5,0.559,0.141,0.259,18.3
deanthony-melton,6,16,3,2,1,0,0,1,4,34.0,15.0,6.9,115.9,0.569,0.153,0.260,22.0,109.1,0.515,0.145,0.263,19.4
deanthony-melton,7,29,4,2,0,3,1,0,6,23.0,26.0,-2.0,114.1,0.534,0.126,0.277,18.4,116.1,0.556,0.146,0.274,20.1
deanthony-melton,8,25,2,2,1,4,0,2,6,10.0,37.0,-11.9,110.6,0.529,0.139,0.259,17.0,122.5,0.586,0.138,0.275,21.3
deanthony-melton,9,23,3,1,0,1,1,4,4,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
deanthony-melton,10,21,6,1,0,1,2,4,10,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
dejounte-murray,0,39,8,5,1,1,0,2,22,28.0,21.0,3.6,119.7,0.570,0.149,0.285,24.4,116.1,0.544,0.129,0.278,19.0
dejounte-murray,1,33,4,9,3,2,0,1,24,25.0,25.0,-0.2,115.4,0.561,0.138,0.232,21.8,115.6,0.554,0.136,0.265,16.7
dejounte-murray,2,37,5,7,3,0,0,3,22,26.0,22.0,-0.0,118.7,0.565,0.125,0.250,20.0,118.7,0.564,0.140,0.293,20.0
dejounte-murray,3,33,7,7,2,1,0,2,23,21.0,24.0,0.7,118.7,0.560,0.146,0.303,19.9,118.0,0.548,0.126,0.269,22.1
dejounte-murray,4,40,10,6,4,0,1,1,35,28.0,19.0,0.1,117.6,0.565,0.134,0.264,17.9,117.5,0.566,0.138,0.249,21.6
dejounte-murray,5,35,9,5,2,1,0,2,24,30.0,16.0,4.5,115.9,0.552,0.137,0.281,18.6,111.4,0.530,0.147,0.265,21.0
dejounte-murray,6,40,3,11,2,2,0,2,22,26.0,23.0,-1.8,113.8,0.536,0.136,0.255,22.9,115.5,0.559,0.141,0.259,18.3
dejounte-murray,7,36,5,5,5,2,0,1,26,26.0,23.0,0.8,113.3,0.532,0.146,0.290,23.1,112.5,0.549,0.157,0.257,21.4
dejounte-murray,8,33,13,0,2,0,1,3,13,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
dejounte-murray,9,31,5,3,2,0,0,1,13,9.0,39.0,-9.8,111.9,0.544,0.133,0.222,17.9,121.8,0.566,0.136,0.321,20.1
dejounte-murray,10,32,4,4,3,3,0,2,29,27.0,23.0,1.1,121.7,0.582,0.134,0.283,18.0,120.7,0.567,0.137,0.297,24.3
delon-wright,0,6,2,1,0,0,1,0,3,26.0,23.0,-1.8,113.8,0.536,0.136,0.255,22.9,115.5,0.559,0.141,0.259,18.3
delon-wright,1,14,0,0,0,0,0,1,4,32.0,15.0,8.5,122.1,0.577,0.130,0.280,21.5,113.7,0.532,0.139,0.281,19.9
delon-wright,2,9,2,1,0,0,0,0,5,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
delon-wright,3,11,2,3,0,1,0,0,2,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
delon-wright,4,5,1,1,0,0,0,0,0,24.0,26.0,-3.2,116.3,0.545,0.157,0.321,20.8,119.5,0.561,0.122,0.273,18.7
delon-wright,5,9,0,3,0,0,0,1,4,34.0,15.0,6.9,115.9,0.569,0.153,0.260,22.0,109.1,0.515,0.145,0.263,19.4
delon-wright,6,17,2,0,0,1,1,1,6,33.0,16.0,4.1,118.9,0.562,0.130,0.292,18.0,114.7,0.536,0.125,0.267,20.5
delon-wright,7,20,4,4,0,3,1,0,6,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
delon-wright,8,11,2,1,0,1,0,1,5,32.0,17.0,6.8,119.8,0.545,0.135,0.328,21.2,113.0,0.543,0.134,0.250,17.7
delon-wright,9,16,1,4,0,1,0,2,5,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
delon-wright,10,22,2,4,0,2,1,1,8,21.0,27.0,-1.9,118.6,0.541,0.133,0.306,21.7,120.4,0.580,0.142,0.282,19.9
demar-derozan,0,38,4,3,2,0,1,2,15,10.0,37.0,-11.9,110.6,0.529,0.139,0.259,17.0,122.5,0.586,0.138,0.275,21.3
demar-derozan,1,42,2,5,5,3,4,1,25,17.0,31.0,-2.8,115.0,0.547,0.134,0.273,18.5,117.8,0.561,0.136,0.279,18.0
demar-derozan,2,40,7,6,0,1,0,2,20,15.0,33.0,-9.4,109.4,0.508,0.150,0.297,19.1,118.7,0.568,0.147,0.291,21.5
demar-derozan,3,41,2,10,3,2,0,2,32,25.0,25.0,-0.2,115.4,0.561,0.138,0.232,21.8,115.6,0.554,0.136,0.265,16.7
demar-derozan,4,40,5,3,2,1,0,3,21,28.0,21.0,3.6,119.7,0.570,0.149,0.285,24.4,116.1,0.544,0.129,0.278,19.0
demar-derozan,5,37,4,8,1,1,1,0,18,18.0,31.0,-5.7,108.8,0.520,0.148,0.263,18.2,114.5,0.547,0.153,0.277,21.7
demar-derozan,6,38,7,6,2,1,0,2,24,17.0,31.0,-2.8,115.0,0.547,0.134,0.273,18.5,117.8,0.561,0.136,0.279,18.0
demar-derozan,7,38,6,3,2,2,1,3,6,30.0,16.0,4.5,115.9,0.552,0.137,0.281,18.6,111.4,0.530,0.147,0.265,21.0
demar-derozan,8,34,4,4,0,0,0,1,20,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
demar-derozan,9,41,7,5,1,0,0,5,39,21.0,24.0,0.7,118.7,0.560,0.146,0.303,19.9,118.0,0.548,0.126,0.269,22.1
demar-derozan,10,43,4,4,1,0,0,2,19,23.0,25.0,2.7,115.0,0.536,0.126,0.264,20.7,112.3,0.530,0.137,0.263,22.6
deni-avdija,0,35,8,2,3,0,0,5,15,26.0,23.0,-1.8,113.8,0.536,0.136,0.255,22.9,115.5,0.559,0.141,0.259,18.3
deni-avdija,1,26,5,3,2,1,1,2,13,32.0,15.0,8.5,122.1,0.577,0.130,0.280,21.5,113.7,0.532,0.139,0.281,19.9
deni-avdija,2,25,8,5,3,1,1,3,9,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
deni-avdija,3,24,5,2,0,0,1,3,10,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
deni-avdija,4,27,6,5,3,1,1,1,13,24.0,26.0,-3.2,116.3,0.545,0.157,0.321,20.8,119.5,0.561,0.122,0.273,18.7
deni-avdija,5,38,6,6,2,0,0,3,24,34.0,15.0,6.9,115.9,0.569,0.153,0.260,22.0,109.1,0.515,0.145,0.263,19.4
deni-avdija,6,18,8,3,2,0,1,1,4,33.0,16.0,4.1,118.9,0.562,0.130,0.292,18.0,114.7,0.536,0.125,0.267,20.5
deni-avdija,7,32,7,4,1,1,0,2,16,10.0,39.0,-8.4,110.8,0.533,0.146,0.256,17.4,119.1,0.566,0.132,0.280,19.6
deni-avdija,8,26,8,1,2,0,0,6,15,32.0,17.0,6.8,119.8,0.545,0.135,0.328,21.2,113.0,0.543,0.134,0.250,17.7
deni-avdija,9,28,2,4,3,0,2,1,12,6.0,42.0,-10.9,111.3,0.538,0.156,0.278,19.3,122.2,0.566,0.115,0.263,24.4
