GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
0,TOR,4,4,0,1,0,0,0,6
1,CHA,7,3,0,1,0,0,0,3
2,POR,0,0,0,0,0,0,0,0
3,BOS,7,3,0,0,0,0,1,2
4,MIN,4,3,0,0,0,0,0,2
5,DET,6,1,1,0,0,0,1,0
6,LAL,6,7,0,0,0,0,1,6
7,SAC,7,1,2,0,0,1,0,0
8,SAS,7,0,1,0,0,0,1,4
