GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
0,DAL,2,0,0,0,1,0,0,0
1,DAL,8,3,2,0,0,1,2,3
2,HOU,12,1,0,0,1,0,0,0
3,MIN,17,3,1,0,0,0,1,9
4,DET,13,0,1,0,0,0,1,2
