GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
0,MIN,8,0,2,0,0,0,0,5
1,PHO,5,0,0,0,0,0,0,2
2,LAL,5,1,2,0,0,0,0,5
3,MEM,3,1,1,0,0,0,0,0
4,POR,10,0,2,1,0,1,0,7
5,POR,6,2,0,0,1,0,0,0
6,UTH,7,1,1,1,0,0,1,4
