GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
0,CHI,10,3,3,0,0,0,0,0
1,NYK,11,2,0,0,0,0,3,0
2,HOU,9,0,0,0,0,0,0,5
3,DET,9,0,0,0,0,0,1,0
4,NOR,4,1,1,1,0,0,0,0
