GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
0,WAS,6,1,0,0,0,0,2,0
1,IND,17,2,2,1,3,0,0,10
2,WAS,16,1,1,0,1,0,2,2
