Date,OPP,Score,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,REB,AST,TO,STL,BLK,PF,PTS
"Wed, Jan 24",@ GSW,"L, 112-134",3,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0
"Sat, Jan 20",vs. CLE,"L, 116-95",3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,3
"Sat, Jan 13",vs. WAS,"L, 127-99",5,0,1,0.0,0,0,0.0,1,2,50.0,0,2,2,0,0,0,0,1,1
"Fri, Jan 12",vs. IND,"L, 126-108",4,0,1,0.0,0,1,0.0,2,2,100.0,0,0,0,0,0,0,0,0,2
"Fri, Jan 5",@ IND,"L, 116-150",7,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,0,3
"Tue, Dec 26",@ CHI,"L, 113-118",1,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0
"Sat, Dec 23",vs. MEM,"L, 125-119",19,1,7,14.3,1,6,16.7,0,0,0.0,1,1,2,0,0,0,0,2,3
"Mon, Dec 18",vs. DET,"W, 124-130",9,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0
"Fri, Dec 15",@ TOR,"W, 125-104",1,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2
