GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
0,HOU,8,0,1,1,0,0,1,0
1,DAL,8,0,2,1,0,0,0,0
2,MIN,20,0,2,1,0,0,4,8
3,DET,26,2,4,0,1,0,0,12
4,PHO,34,1,2,1,1,0,5,8
5,DAL,26,4,1,1,1,0,2,19
6,UTH,18,2,1,0,0,0,0,0
7,MIN,13,5,3,0,0,0,1,4
8,PHO,2,0,0,0,0,0,0,0
