GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
0,DEN,36,7,5,2,1,2,4,34
1,MIN,39,7,8,4,2,0,2,37
2,DET,29,5,4,3,1,0,3,31
3,NOR,32,4,5,4,2,1,0,31
4,SAS,29,6,10,4,2,1,3,32
5,POR,35,6,10,3,5,0,3,33
6,MIN,37,2,6,2,2,0,0,33
7,UTH,35,6,6,4,1,1,4,31
8,LAC,34,2,4,2,0,2,4,19
9,LAL,34,3,6,3,1,1,3,24
10,ORL,36,6,7,0,3,1,2,37
