OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
SAS,6,2,0,3,0,1,1,0
HOU,17,5,4,0,0,0,0,18
OKC,3,2,0,0,0,0,0,0
MEM,4,0,0,0,0,0,0,4
