GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
0,TOR,4,0,2,0,0,0,1,5
1,DEN,3,0,0,0,0,0,0,0
2,SAS,2,1,0,0,0,0,0,0
3,SAC,2,2,0,0,0,0,0,0
