GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
0,PHO,16,6,1,2,0,1,2,2
1,SAS,4,4,0,0,0,0,1,0
2,SAS,14,7,0,0,0,0,3,4
3,SAC,14,11,0,1,1,1,3,0
4,UTH,5,1,0,0,0,0,0,0
5,LAC,16,12,0,1,0,0,1,6
6,PHO,2,1,0,0,0,0,0,0
7,OKC,7,1,0,0,1,0,0,2
8,SAC,5,3,1,0,0,1,1,4
