PLAYER,GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
admiral-schofield,6,DET,4,2,0,2,0,0,3,2
admiral-schofield,7,BKN,4,1,1,0,0,0,0,0
admiral-schofield,8,WAS,4,0,0,0,0,0,1,0
admiral-schofield,9,TOR,2,0,0,0,0,0,0,0
admiral-schofield,10,IND,5,0,0,1,0,0,1,0
aj-green,0,NOR,4,1,0,1,0,0,1,3
aj-green,1,CLE,1,0,0,0,0,0,0,0
aj-green,2,CLE,13,2,1,0,0,0,2,3
aj-green,3,SAC,18,0,0,0,0,0,2,5
aj-green,4,BOS,9,2,2,0,0,1,1,9
aj-green,5,UTH,11,1,0,0,0,0,0,8
aj-green,6,HOU,3,0,0,0,0,0,1,0
aj-green,7,BKN,4,1,0,0,0,0,2,3
aj-green,8,NYK,0,0,0,0,0,0,0,0
aj-green,9,SAS,2,0,0,0,0,0,0,0
aj-green,10,HOU,0,0,0,0,0,0,0,0
aj-griffin,0,LAL,2,1,0,0,0,0,0,0
aj-griffin,1,GSW,2,0,0,0,0,0,0,0
aj-griffin,2,CLE,3,0,0,0,0,0,0,2
aj-griffin,3,WAS,5,1,0,0,0,0,0,0
aj-griffin,4,IND,4,0,0,0,0,1,0,2
aj-griffin,5,IND,7,0,0,2,0,0,0,3
aj-griffin,6,DEN,9,2,1,0,0,0,1,0
aj-griffin,7,CLE,15,1,0,0,0,0,1,0
aj-griffin,8,BOS,12,4,1,0,0,0,0,0
aj-griffin,9,WAS,6,0,0,0,0,0,0,6
aj-griffin,10,BKN,3,0,0,0,0,0,0,0
aj-lawson,0,MIN,15,2,1,0,0,1,2,3
aj-lawson,1,SAC,4,0,1,1,0,0,1,2
aj-lawson,2,PHO,5,1,1,0,0,0,0,3
aj-lawson,3,LAL,5,0,0,0,0,0,0,2
aj-lawson,4,NOR,14,1,0,0,0,1,1,3
aj-lawson,5,NOR,6,1,1,1,0,0,0,3
aj-lawson,6,MEM,5,2,0,0,0,0,1,3
aj-lawson,7,POR,25,5,2,2,2,0,5,14
aj-lawson,8,POR,8,0,0,0,1,0,1,3
aj-lawson,9,PHO,5,1,0,0,0,0,0,0
aj-lawson,10,SAS,31,7,3,1,2,0,2,17
al-horford,0,LAL,24,9,1,0,1,2,0,6
al-horford,1,NOR,36,8,4,0,0,1,1,11
al-horford,2,LAC,19,2,1,1,0,0,1,0
al-horford,3,MIA,23,7,6,1,0,1,2,8
al-horford,4,DAL,31,6,3,1,1,0,2,11
al-horford,5,DEN,27,10,2,0,0,0,3,6
al-horford,6,SAS,25,3,0,0,1,0,2,9
al-horford,7,TOR,35,11,2,1,1,0,3,10
al-horford,8,HOU,20,4,1,0,0,1,0,7
al-horford,9,MIN,38,8,5,1,0,0,3,9
al-horford,10,IND,32,6,0,1,0,1,1,11
alec-burks,0,LAC,21,2,1,1,1,1,0,6
alec-burks,1,CLE,30,4,6,2,0,1,2,11
alec-burks,2,OKC,26,6,2,3,3,0,1,10
alec-burks,3,WAS,18,4,0,0,0,0,1,8
alec-burks,4,CHA,26,0,1,0,0,0,1,15
alec-burks,5,MIL,28,2,3,1,0,0,4,9
alec-burks,6,MIL,30,7,6,0,1,0,2,33
alec-burks,7,MIN,20,1,1,0,2,0,1,12
alec-burks,8,WAS,29,2,2,1,0,0,2,34
alec-burks,9,HOU,30,0,1,2,0,2,3,19
alec-burks,10,SAS,20,2,2,1,0,0,1,15
aleksandar-vezenkov,0,ATL,6,2,0,0,0,0,1,8
aleksandar-vezenkov,1,IND,11,3,0,0,1,1,1,7
aleksandar-vezenkov,2,PHO,18,2,1,1,1,0,1,14
aleksandar-vezenkov,3,MIL,6,1,0,0,0,0,0,4
aleksandar-vezenkov,4,PHI,9,5,0,1,0,0,0,2
aleksandar-vezenkov,5,NOR,21,2,0,0,0,0,0,11
aleksandar-vezenkov,6,MEM,3,1,0,0,0,0,0,2
aleksandar-vezenkov,7,POR,9,1,1,0,0,0,1,0
aleksandar-vezenkov,8,MIN,8,1,0,0,1,0,1,0
aleksandar-vezenkov,9,PHO,6,1,0,1,0,0,1,3
aleksandar-vezenkov,10,BOS,13,3,0,0,0,0,0,3
aleksej-pokusevski,0,CHA,7,1,0,0,1,0,0,4
aleksej-pokusevski,1,SAS,5,1,0,0,0,0,0,2
aleksej-pokusevski,2,UTH,9,1,0,0,0,0,0,0
aleksej-pokusevski,3,LAL,3,0,0,0,0,0,1,0
aleksej-pokusevski,4,POR,9,3,4,0,0,0,1,5
aleksej-pokusevski,5,SAS,5,1,1,0,0,0,0,0
aleksej-pokusevski,6,DET,2,0,0,1,0,0,2,0
aleksej-pokusevski,7,DEN,14,1,0,2,0,1,1,1
aleksej-pokusevski,8,CHI,2,2,0,0,0,0,0,0
alex-caruso,0,CHA,34,5,3,0,0,3,2,10
alex-caruso,1,TOR,33,3,2,3,1,2,2,11
