GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
0,NOR,1,0,0,0,0,0,0,0
1,LAL,0,0,0,0,0,0,0,0
2,CHA,7,3,1,1,0,1,2,2
3,DAL,10,2,1,1,0,0,3,3
4,LAL,3,2,0,0,0,0,1,0
5,DEN,6,1,0,0,0,0,0,3
6,SAC,7,0,0,0,0,0,1,6
7,SAC,1,0,0,0,0,0,0,0
