GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
0,DET,13,2,0,0,0,0,1,5
1,NOR,2,0,0,0,0,0,0,0
2,SAS,5,0,1,1,0,0,0,0
3,POR,5,1,1,0,0,0,1,0
4,POR,18,3,2,2,0,0,1,4
5,DEN,6,0,0,0,0,0,0,0
