GAME,OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
0,NOR,2,0,0,0,0,0,0,0
1,UTH,10,1,0,0,0,0,0,3
2,MEM,2,0,0,0,0,0,0,3
3,NOR,3,0,0,0,0,0,0,0
4,UTH,3,0,0,0,1,0,0,2
5,ATL,1,0,0,0,0,0,0,0
