OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
MIL,3,2,0,0,0,0,0,0
OKC,3,0,0,0,2,0,0,0
DEN,2,1,1,0,0,0,0,0
GSW,3,0,0,0,0,0,0,0
SAC,4,0,0,1,0,1,1,0
MIN,5,0,0,1,0,1,1,4
ATL,1,0,0,0,0,0,0,0
NYK,2,2,0,0,0,0,0,0
