OPP,MIN,REB,AST,TO,STL,BLK,PF,PTS
SAS,5,1,0,0,0,0,0,2
UTH,9,1,0,0,0,0,0,0
LAL,3,0,0,0,0,0,1,0
POR,9,3,4,0,0,0,1,5
SAS,5,1,1,0,0,0,0,0
DET,2,0,0,1,0,0,2,0
DEN,14,1,0,2,0,1,1,1
CHI,2,2,0,0,0,0,0,0
